n_pars,Cab,fqe,LAI,tts
#
4,20,1.000000e-02,2,22
4,40,1.000000e-02,2,22
4,60,1.000000e-02,2,22
4,80,1.000000e-02,2,22
4,20,1.200000e-02,2,22
4,40,1.200000e-02,2,22
4,60,1.200000e-02,2,22
4,80,1.200000e-02,2,22
4,20,1.400000e-02,2,22
4,40,1.400000e-02,2,22
4,60,1.400000e-02,2,22
4,80,1.400000e-02,2,22
4,20,1.600000e-02,2,22
4,40,1.600000e-02,2,22
4,60,1.600000e-02,2,22
4,80,1.600000e-02,2,22
4,20,1.800000e-02,2,22
4,40,1.800000e-02,2,22
4,60,1.800000e-02,2,22
4,80,1.800000e-02,2,22
4,20,2.000000e-02,2,22
4,40,2.000000e-02,2,22
4,60,2.000000e-02,2,22
4,80,2.000000e-02,2,22
4,20,2.200000e-02,2,22
4,40,2.200000e-02,2,22
4,60,2.200000e-02,2,22
4,80,2.200000e-02,2,22
4,20,1.000000e-02,4,22
4,40,1.000000e-02,4,22
4,60,1.000000e-02,4,22
4,80,1.000000e-02,4,22
4,20,1.200000e-02,4,22
4,40,1.200000e-02,4,22
4,60,1.200000e-02,4,22
4,80,1.200000e-02,4,22
4,20,1.400000e-02,4,22
4,40,1.400000e-02,4,22
4,60,1.400000e-02,4,22
4,80,1.400000e-02,4,22
4,20,1.600000e-02,4,22
4,40,1.600000e-02,4,22
4,60,1.600000e-02,4,22
4,80,1.600000e-02,4,22
4,20,1.800000e-02,4,22
4,40,1.800000e-02,4,22
4,60,1.800000e-02,4,22
4,80,1.800000e-02,4,22
4,20,2.000000e-02,4,22
4,40,2.000000e-02,4,22
4,60,2.000000e-02,4,22
4,80,2.000000e-02,4,22
4,20,2.200000e-02,4,22
4,40,2.200000e-02,4,22
4,60,2.200000e-02,4,22
4,80,2.200000e-02,4,22
4,20,1.000000e-02,6,22
4,40,1.000000e-02,6,22
4,60,1.000000e-02,6,22
4,80,1.000000e-02,6,22
4,20,1.200000e-02,6,22
4,40,1.200000e-02,6,22
4,60,1.200000e-02,6,22
4,80,1.200000e-02,6,22
4,20,1.400000e-02,6,22
4,40,1.400000e-02,6,22
4,60,1.400000e-02,6,22
4,80,1.400000e-02,6,22
4,20,1.600000e-02,6,22
4,40,1.600000e-02,6,22
4,60,1.600000e-02,6,22
4,80,1.600000e-02,6,22
4,20,1.800000e-02,6,22
4,40,1.800000e-02,6,22
4,60,1.800000e-02,6,22
4,80,1.800000e-02,6,22
4,20,2.000000e-02,6,22
4,40,2.000000e-02,6,22
4,60,2.000000e-02,6,22
4,80,2.000000e-02,6,22
4,20,2.200000e-02,6,22
4,40,2.200000e-02,6,22
4,60,2.200000e-02,6,22
4,80,2.200000e-02,6,22
4,20,1.000000e-02,8,22
4,40,1.000000e-02,8,22
4,60,1.000000e-02,8,22
4,80,1.000000e-02,8,22
4,20,1.200000e-02,8,22
4,40,1.200000e-02,8,22
4,60,1.200000e-02,8,22
4,80,1.200000e-02,8,22
4,20,1.400000e-02,8,22
4,40,1.400000e-02,8,22
4,60,1.400000e-02,8,22
4,80,1.400000e-02,8,22
4,20,1.600000e-02,8,22
4,40,1.600000e-02,8,22
4,60,1.600000e-02,8,22
4,80,1.600000e-02,8,22
4,20,1.800000e-02,8,22
4,40,1.800000e-02,8,22
4,60,1.800000e-02,8,22
4,80,1.800000e-02,8,22
4,20,2.000000e-02,8,22
4,40,2.000000e-02,8,22
4,60,2.000000e-02,8,22
4,80,2.000000e-02,8,22
4,20,2.200000e-02,8,22
4,40,2.200000e-02,8,22
4,60,2.200000e-02,8,22
4,80,2.200000e-02,8,22
4,20,1.000000e-02,2,26
4,40,1.000000e-02,2,26
4,60,1.000000e-02,2,26
4,80,1.000000e-02,2,26
4,20,1.200000e-02,2,26
4,40,1.200000e-02,2,26
4,60,1.200000e-02,2,26
4,80,1.200000e-02,2,26
4,20,1.400000e-02,2,26
4,40,1.400000e-02,2,26
4,60,1.400000e-02,2,26
4,80,1.400000e-02,2,26
4,20,1.600000e-02,2,26
4,40,1.600000e-02,2,26
4,60,1.600000e-02,2,26
4,80,1.600000e-02,2,26
4,20,1.800000e-02,2,26
4,40,1.800000e-02,2,26
4,60,1.800000e-02,2,26
4,80,1.800000e-02,2,26
4,20,2.000000e-02,2,26
4,40,2.000000e-02,2,26
4,60,2.000000e-02,2,26
4,80,2.000000e-02,2,26
4,20,2.200000e-02,2,26
4,40,2.200000e-02,2,26
4,60,2.200000e-02,2,26
4,80,2.200000e-02,2,26
4,20,1.000000e-02,4,26
4,40,1.000000e-02,4,26
4,60,1.000000e-02,4,26
4,80,1.000000e-02,4,26
4,20,1.200000e-02,4,26
4,40,1.200000e-02,4,26
4,60,1.200000e-02,4,26
4,80,1.200000e-02,4,26
4,20,1.400000e-02,4,26
4,40,1.400000e-02,4,26
4,60,1.400000e-02,4,26
4,80,1.400000e-02,4,26
4,20,1.600000e-02,4,26
4,40,1.600000e-02,4,26
4,60,1.600000e-02,4,26
4,80,1.600000e-02,4,26
4,20,1.800000e-02,4,26
4,40,1.800000e-02,4,26
4,60,1.800000e-02,4,26
4,80,1.800000e-02,4,26
4,20,2.000000e-02,4,26
4,40,2.000000e-02,4,26
4,60,2.000000e-02,4,26
4,80,2.000000e-02,4,26
4,20,2.200000e-02,4,26
4,40,2.200000e-02,4,26
4,60,2.200000e-02,4,26
4,80,2.200000e-02,4,26
4,20,1.000000e-02,6,26
4,40,1.000000e-02,6,26
4,60,1.000000e-02,6,26
4,80,1.000000e-02,6,26
4,20,1.200000e-02,6,26
4,40,1.200000e-02,6,26
4,60,1.200000e-02,6,26
4,80,1.200000e-02,6,26
4,20,1.400000e-02,6,26
4,40,1.400000e-02,6,26
4,60,1.400000e-02,6,26
4,80,1.400000e-02,6,26
4,20,1.600000e-02,6,26
4,40,1.600000e-02,6,26
4,60,1.600000e-02,6,26
4,80,1.600000e-02,6,26
4,20,1.800000e-02,6,26
4,40,1.800000e-02,6,26
4,60,1.800000e-02,6,26
4,80,1.800000e-02,6,26
4,20,2.000000e-02,6,26
4,40,2.000000e-02,6,26
4,60,2.000000e-02,6,26
4,80,2.000000e-02,6,26
4,20,2.200000e-02,6,26
4,40,2.200000e-02,6,26
4,60,2.200000e-02,6,26
4,80,2.200000e-02,6,26
4,20,1.000000e-02,8,26
4,40,1.000000e-02,8,26
4,60,1.000000e-02,8,26
4,80,1.000000e-02,8,26
4,20,1.200000e-02,8,26
4,40,1.200000e-02,8,26
4,60,1.200000e-02,8,26
4,80,1.200000e-02,8,26
4,20,1.400000e-02,8,26
4,40,1.400000e-02,8,26
4,60,1.400000e-02,8,26
4,80,1.400000e-02,8,26
4,20,1.600000e-02,8,26
4,40,1.600000e-02,8,26
4,60,1.600000e-02,8,26
4,80,1.600000e-02,8,26
4,20,1.800000e-02,8,26
4,40,1.800000e-02,8,26
4,60,1.800000e-02,8,26
4,80,1.800000e-02,8,26
4,20,2.000000e-02,8,26
4,40,2.000000e-02,8,26
4,60,2.000000e-02,8,26
4,80,2.000000e-02,8,26
4,20,2.200000e-02,8,26
4,40,2.200000e-02,8,26
4,60,2.200000e-02,8,26
4,80,2.200000e-02,8,26
4,20,1.000000e-02,2,30
4,40,1.000000e-02,2,30
4,60,1.000000e-02,2,30
4,80,1.000000e-02,2,30
4,20,1.200000e-02,2,30
4,40,1.200000e-02,2,30
4,60,1.200000e-02,2,30
4,80,1.200000e-02,2,30
4,20,1.400000e-02,2,30
4,40,1.400000e-02,2,30
4,60,1.400000e-02,2,30
4,80,1.400000e-02,2,30
4,20,1.600000e-02,2,30
4,40,1.600000e-02,2,30
4,60,1.600000e-02,2,30
4,80,1.600000e-02,2,30
4,20,1.800000e-02,2,30
4,40,1.800000e-02,2,30
4,60,1.800000e-02,2,30
4,80,1.800000e-02,2,30
4,20,2.000000e-02,2,30
4,40,2.000000e-02,2,30
4,60,2.000000e-02,2,30
4,80,2.000000e-02,2,30
4,20,2.200000e-02,2,30
4,40,2.200000e-02,2,30
4,60,2.200000e-02,2,30
4,80,2.200000e-02,2,30
4,20,1.000000e-02,4,30
4,40,1.000000e-02,4,30
4,60,1.000000e-02,4,30
4,80,1.000000e-02,4,30
4,20,1.200000e-02,4,30
4,40,1.200000e-02,4,30
4,60,1.200000e-02,4,30
4,80,1.200000e-02,4,30
4,20,1.400000e-02,4,30
4,40,1.400000e-02,4,30
4,60,1.400000e-02,4,30
4,80,1.400000e-02,4,30
4,20,1.600000e-02,4,30
4,40,1.600000e-02,4,30
4,60,1.600000e-02,4,30
4,80,1.600000e-02,4,30
4,20,1.800000e-02,4,30
4,40,1.800000e-02,4,30
4,60,1.800000e-02,4,30
4,80,1.800000e-02,4,30
4,20,2.000000e-02,4,30
4,40,2.000000e-02,4,30
4,60,2.000000e-02,4,30
4,80,2.000000e-02,4,30
4,20,2.200000e-02,4,30
4,40,2.200000e-02,4,30
4,60,2.200000e-02,4,30
4,80,2.200000e-02,4,30
4,20,1.000000e-02,6,30
4,40,1.000000e-02,6,30
4,60,1.000000e-02,6,30
4,80,1.000000e-02,6,30
4,20,1.200000e-02,6,30
4,40,1.200000e-02,6,30
4,60,1.200000e-02,6,30
4,80,1.200000e-02,6,30
4,20,1.400000e-02,6,30
4,40,1.400000e-02,6,30
4,60,1.400000e-02,6,30
4,80,1.400000e-02,6,30
4,20,1.600000e-02,6,30
4,40,1.600000e-02,6,30
4,60,1.600000e-02,6,30
4,80,1.600000e-02,6,30
4,20,1.800000e-02,6,30
4,40,1.800000e-02,6,30
4,60,1.800000e-02,6,30
4,80,1.800000e-02,6,30
4,20,2.000000e-02,6,30
4,40,2.000000e-02,6,30
4,60,2.000000e-02,6,30
4,80,2.000000e-02,6,30
4,20,2.200000e-02,6,30
4,40,2.200000e-02,6,30
4,60,2.200000e-02,6,30
4,80,2.200000e-02,6,30
4,20,1.000000e-02,8,30
4,40,1.000000e-02,8,30
4,60,1.000000e-02,8,30
4,80,1.000000e-02,8,30
4,20,1.200000e-02,8,30
4,40,1.200000e-02,8,30
4,60,1.200000e-02,8,30
4,80,1.200000e-02,8,30
4,20,1.400000e-02,8,30
4,40,1.400000e-02,8,30
4,60,1.400000e-02,8,30
4,80,1.400000e-02,8,30
4,20,1.600000e-02,8,30
4,40,1.600000e-02,8,30
4,60,1.600000e-02,8,30
4,80,1.600000e-02,8,30
4,20,1.800000e-02,8,30
4,40,1.800000e-02,8,30
4,60,1.800000e-02,8,30
4,80,1.800000e-02,8,30
4,20,2.000000e-02,8,30
4,40,2.000000e-02,8,30
4,60,2.000000e-02,8,30
4,80,2.000000e-02,8,30
4,20,2.200000e-02,8,30
4,40,2.200000e-02,8,30
4,60,2.200000e-02,8,30
4,80,2.200000e-02,8,30
4,20,1.000000e-02,2,34
4,40,1.000000e-02,2,34
4,60,1.000000e-02,2,34
4,80,1.000000e-02,2,34
4,20,1.200000e-02,2,34
4,40,1.200000e-02,2,34
4,60,1.200000e-02,2,34
4,80,1.200000e-02,2,34
4,20,1.400000e-02,2,34
4,40,1.400000e-02,2,34
4,60,1.400000e-02,2,34
4,80,1.400000e-02,2,34
4,20,1.600000e-02,2,34
4,40,1.600000e-02,2,34
4,60,1.600000e-02,2,34
4,80,1.600000e-02,2,34
4,20,1.800000e-02,2,34
4,40,1.800000e-02,2,34
4,60,1.800000e-02,2,34
4,80,1.800000e-02,2,34
4,20,2.000000e-02,2,34
4,40,2.000000e-02,2,34
4,60,2.000000e-02,2,34
4,80,2.000000e-02,2,34
4,20,2.200000e-02,2,34
4,40,2.200000e-02,2,34
4,60,2.200000e-02,2,34
4,80,2.200000e-02,2,34
4,20,1.000000e-02,4,34
4,40,1.000000e-02,4,34
4,60,1.000000e-02,4,34
4,80,1.000000e-02,4,34
4,20,1.200000e-02,4,34
4,40,1.200000e-02,4,34
4,60,1.200000e-02,4,34
4,80,1.200000e-02,4,34
4,20,1.400000e-02,4,34
4,40,1.400000e-02,4,34
4,60,1.400000e-02,4,34
4,80,1.400000e-02,4,34
4,20,1.600000e-02,4,34
4,40,1.600000e-02,4,34
4,60,1.600000e-02,4,34
4,80,1.600000e-02,4,34
4,20,1.800000e-02,4,34
4,40,1.800000e-02,4,34
4,60,1.800000e-02,4,34
4,80,1.800000e-02,4,34
4,20,2.000000e-02,4,34
4,40,2.000000e-02,4,34
4,60,2.000000e-02,4,34
4,80,2.000000e-02,4,34
4,20,2.200000e-02,4,34
4,40,2.200000e-02,4,34
4,60,2.200000e-02,4,34
4,80,2.200000e-02,4,34
4,20,1.000000e-02,6,34
4,40,1.000000e-02,6,34
4,60,1.000000e-02,6,34
4,80,1.000000e-02,6,34
4,20,1.200000e-02,6,34
4,40,1.200000e-02,6,34
4,60,1.200000e-02,6,34
4,80,1.200000e-02,6,34
4,20,1.400000e-02,6,34
4,40,1.400000e-02,6,34
4,60,1.400000e-02,6,34
4,80,1.400000e-02,6,34
4,20,1.600000e-02,6,34
4,40,1.600000e-02,6,34
4,60,1.600000e-02,6,34
4,80,1.600000e-02,6,34
4,20,1.800000e-02,6,34
4,40,1.800000e-02,6,34
4,60,1.800000e-02,6,34
4,80,1.800000e-02,6,34
4,20,2.000000e-02,6,34
4,40,2.000000e-02,6,34
4,60,2.000000e-02,6,34
4,80,2.000000e-02,6,34
4,20,2.200000e-02,6,34
4,40,2.200000e-02,6,34
4,60,2.200000e-02,6,34
4,80,2.200000e-02,6,34
4,20,1.000000e-02,8,34
4,40,1.000000e-02,8,34
4,60,1.000000e-02,8,34
4,80,1.000000e-02,8,34
4,20,1.200000e-02,8,34
4,40,1.200000e-02,8,34
4,60,1.200000e-02,8,34
4,80,1.200000e-02,8,34
4,20,1.400000e-02,8,34
4,40,1.400000e-02,8,34
4,60,1.400000e-02,8,34
4,80,1.400000e-02,8,34
4,20,1.600000e-02,8,34
4,40,1.600000e-02,8,34
4,60,1.600000e-02,8,34
4,80,1.600000e-02,8,34
4,20,1.800000e-02,8,34
4,40,1.800000e-02,8,34
4,60,1.800000e-02,8,34
4,80,1.800000e-02,8,34
4,20,2.000000e-02,8,34
4,40,2.000000e-02,8,34
4,60,2.000000e-02,8,34
4,80,2.000000e-02,8,34
4,20,2.200000e-02,8,34
4,40,2.200000e-02,8,34
4,60,2.200000e-02,8,34
4,80,2.200000e-02,8,34
4,20,1.000000e-02,2,38
4,40,1.000000e-02,2,38
4,60,1.000000e-02,2,38
4,80,1.000000e-02,2,38
4,20,1.200000e-02,2,38
4,40,1.200000e-02,2,38
4,60,1.200000e-02,2,38
4,80,1.200000e-02,2,38
4,20,1.400000e-02,2,38
4,40,1.400000e-02,2,38
4,60,1.400000e-02,2,38
4,80,1.400000e-02,2,38
4,20,1.600000e-02,2,38
4,40,1.600000e-02,2,38
4,60,1.600000e-02,2,38
4,80,1.600000e-02,2,38
4,20,1.800000e-02,2,38
4,40,1.800000e-02,2,38
4,60,1.800000e-02,2,38
4,80,1.800000e-02,2,38
4,20,2.000000e-02,2,38
4,40,2.000000e-02,2,38
4,60,2.000000e-02,2,38
4,80,2.000000e-02,2,38
4,20,2.200000e-02,2,38
4,40,2.200000e-02,2,38
4,60,2.200000e-02,2,38
4,80,2.200000e-02,2,38
4,20,1.000000e-02,4,38
4,40,1.000000e-02,4,38
4,60,1.000000e-02,4,38
4,80,1.000000e-02,4,38
4,20,1.200000e-02,4,38
4,40,1.200000e-02,4,38
4,60,1.200000e-02,4,38
4,80,1.200000e-02,4,38
4,20,1.400000e-02,4,38
4,40,1.400000e-02,4,38
4,60,1.400000e-02,4,38
4,80,1.400000e-02,4,38
4,20,1.600000e-02,4,38
4,40,1.600000e-02,4,38
4,60,1.600000e-02,4,38
4,80,1.600000e-02,4,38
4,20,1.800000e-02,4,38
4,40,1.800000e-02,4,38
4,60,1.800000e-02,4,38
4,80,1.800000e-02,4,38
4,20,2.000000e-02,4,38
4,40,2.000000e-02,4,38
4,60,2.000000e-02,4,38
4,80,2.000000e-02,4,38
4,20,2.200000e-02,4,38
4,40,2.200000e-02,4,38
4,60,2.200000e-02,4,38
4,80,2.200000e-02,4,38
4,20,1.000000e-02,6,38
4,40,1.000000e-02,6,38
4,60,1.000000e-02,6,38
4,80,1.000000e-02,6,38
4,20,1.200000e-02,6,38
4,40,1.200000e-02,6,38
4,60,1.200000e-02,6,38
4,80,1.200000e-02,6,38
4,20,1.400000e-02,6,38
4,40,1.400000e-02,6,38
4,60,1.400000e-02,6,38
4,80,1.400000e-02,6,38
4,20,1.600000e-02,6,38
4,40,1.600000e-02,6,38
4,60,1.600000e-02,6,38
4,80,1.600000e-02,6,38
4,20,1.800000e-02,6,38
4,40,1.800000e-02,6,38
4,60,1.800000e-02,6,38
4,80,1.800000e-02,6,38
4,20,2.000000e-02,6,38
4,40,2.000000e-02,6,38
4,60,2.000000e-02,6,38
4,80,2.000000e-02,6,38
4,20,2.200000e-02,6,38
4,40,2.200000e-02,6,38
4,60,2.200000e-02,6,38
4,80,2.200000e-02,6,38
4,20,1.000000e-02,8,38
4,40,1.000000e-02,8,38
4,60,1.000000e-02,8,38
4,80,1.000000e-02,8,38
4,20,1.200000e-02,8,38
4,40,1.200000e-02,8,38
4,60,1.200000e-02,8,38
4,80,1.200000e-02,8,38
4,20,1.400000e-02,8,38
4,40,1.400000e-02,8,38
4,60,1.400000e-02,8,38
4,80,1.400000e-02,8,38
4,20,1.600000e-02,8,38
4,40,1.600000e-02,8,38
4,60,1.600000e-02,8,38
4,80,1.600000e-02,8,38
4,20,1.800000e-02,8,38
4,40,1.800000e-02,8,38
4,60,1.800000e-02,8,38
4,80,1.800000e-02,8,38
4,20,2.000000e-02,8,38
4,40,2.000000e-02,8,38
4,60,2.000000e-02,8,38
4,80,2.000000e-02,8,38
4,20,2.200000e-02,8,38
4,40,2.200000e-02,8,38
4,60,2.200000e-02,8,38
